GameFileName,GameName,GameDisplay,GameRating,MediaSearch,Manufact,GameYear,NumPlayers,GameType,GKeepDisplays,Category,GameTheme,CUSTOM5,WebLinkURL,IPDBNum,AltRunMode,DesignedBy,Author,GAMEVER,ROM,Tags
Rescue 911 (Gottlieb 1994) LoadedWeapon 1.0.0,Rescue 911 (Gottlieb 1994),Rescue 911 (Gottlieb 1994),8486,,Gottlieb,1994,4,SS dmd,"0,5",E,Fire and Rescue,,http://www.ipdb.org/machine.cgi?id=1951,1951,,Bill Parker,"LoadedWeapon, Antisect",1.0.0,rescu911,
Riders Surf (Jocmatic 1986) Mfuegemann 1.1,Riders Surf (Jocmatic 1986),Riders Surf (Jocmatic 1986),5382,,Jocmatic,1986,4,SS,"0,1,5",E,Sports,Surf-Skate-Cycle,https://www.ipdb.org/machine.cgi?id=4102,4102,,?,"Mfuegemann, Akiles50000, Dark, Gtxjoe, Mustang1961",1.1,ridersrf,
Ripleys Believe It or Not! (Stern 2004) VPW 1.3.0,Ripleys Believe It or Not! (Stern 2004),Ripleys Believe It or Not! (Stern 2004),9166,,Stern,2004,4,SS dmd,"0,5",E,Leisure and Travel,,http://www.ipdb.org/machine.cgi?id=http://www.ipdb.org/machine.cgi?id=4917,4917,,Pat Lawlor,VPinWorkshop,1.3.0,ripleys,
Riverboat Gambler (Williams 1990) Goldchicco 1.0,Riverboat Gambler (Williams 1990),Riverboat Gambler (Williams 1990),6960,,Williams,1990,4,SS alpha,"0,5",E,Card and Casino,,http://www.ipdb.org/machine.cgi?id=1966,1966,,Mark Ritchie,JPSalas,1.0,rvrbt_l3,
Road Kings (Williams 1986) SliderPoint 1.1,Road Kings (Williams 1986),Road Kings (Williams 1986),6942,,Williams,1986,4,SS alpha,"0,5",E,Science Fiction,,http://www.ipdb.org/machine.cgi?id=1970,1970,,Mark Ritchie,SliderPoint,1.1,rdkng_l4,
Road Race (Gottlieb 1969) Bord 1.0.0,Road Race (Gottlieb 1969),Road Race (Gottlieb 1969),7202,,Gottlieb,1969,1,EM,"0,1,5",E,Motorsports,,http://www.ipdb.org/machine.cgi?id=1971,1971,,Ed Krynski,"Bord, Loserman76, Dazz, Freneticamnesic, Grizz, GNance, Zany, Arngrim, JPSalas, Pinuck, HauntFreaks, BorgDog",1.0.0,,
Road Runner -Remastered- (Atari 1979) Pancake_Tues 3.0.0 MOD,Road Runner -Remastered- (Atari 1979),Road Runner -Remastered- (Atari 1979),7048,,Atari,1979,4,SS,"0,1,5",E,Cartoons,,http://www.ipdb.org/machine.cgi?id=3517,3517,,Marty Rosenthal,"Pancake_Tues, Xenonph, Kalavera3",3.0.0,roadrunr,Sound
Robocop (Data East 1989) Drakkon 1.2.0 MOD,Robocop (Data East 1989),Robocop (Data East 1989),8780,,Data East,1989,4,SS alpha,-1,M,Cops and Robbers,,http://www.ipdb.org/machine.cgi?id=1976,1976,,"Joe Kaminkow, Ed Cebula","Drakkon, ICPjuggla, Talantyyr, Dozer, Dark",1.2.0,robo_a34,PuP
Robot (Zaccaria 1985) Wylte 1.3.0,Robot (Zaccaria 1985),Robot (Zaccaria 1985),6580,,Zaccaria,1985,4,SS,"0,1,5",E,Science Fiction,,http://www.ipdb.org/machine.cgi?id=1977,1977,,?,"Wylte, 32assassin",1.3.0,robot,
Robo-War (Gottlieb 1988) Versins77 1.0.0 MOD,Robo-War (Gottlieb 1988),Robo-War (Gottlieb 1988),8764,,Gottlieb,1988,4,SS alpha,"0,5",E,Outer Space,,http://www.ipdb.org/machine.cgi?id=1975,1975,,John Trudeau,"Versins77, Bigus1, Balater",1.0.0,,
Rock -Encore Edition- (Gottlieb 1985) JPSalas 6.0.0,Rock -Encore Edition- (Gottlieb 1985),Rock -Encore Edition- (Gottlieb 1985),8022,,Gottlieb,1985,4,SS alpha,"0,5",E,Musicians,,http://www.ipdb.org/machine.cgi?id=1978,1978,,John Trudeau,"JPSalas, Darquayle",6.0.0,rock_enc,
Rocket III (Bally 1967) Loserman76 1.0.0f,Rocket III (Bally 1967),Rocket III (Bally 1967),7022,,Bally,1967,1,EM,"0,1,5",E,Outer Space,,http://www.ipdb.org/machine.cgi?id=1989,1989,,Ted Zale,"Loserman76, HauntFreaks, GNance, Arngrim, JPSalas, Pinuck, BorgDog, Popotte",1.0.0f,,Zips
RockMakers (Bally 1968) Bord 1.2.0,RockMakers (Bally 1968),RockMakers (Bally 1968),8410,,Bally,1968,4,EM,"0,1,5",E,Jurassic Era,,http://www.ipdb.org/machine.cgi?id=1980,1980,,Ted Zale,"Bord, Scottacus",1.2.0,,Zips
